These	CSU	SPD	FW	Grüne	FDP	Linke	ÖDP	REP	NPD	BP	BüSo	Freiheit	Frauen	Franken	Piraten
1. In Bayern sollen Geschäfte an Werktagen länger geöffnet haben dürfen.	x	x	x	x	#	x	x	x	x	-	x	y	x	x	y
2. In die Bayerische Verfassung soll eine Schuldenbremse aufgenommen werden.	#	#	#	x	#	x	#	#	#	#	x	y	y	y	x
3. Autofahrer aus dem Ausland sollen für die Nutzung deutscher Autobahnen bezahlen.	#	x	x	x	x	x	x	#	#	#	x	y	y	y	x
4. Bei Neuvermietungen sollen sich Vermieter an regionale Mietobergrenzen halten müssen.	#	#	#	#	x	#	#	#	#	#	y	y	y	x	y
5. Das Land soll die ökologische Landwirtschaft stärker finanziell fördern.	-	#	x	#	x	#	#	x	#	-	-	x	y	y	y
6. Mehr Videoüberwachung auf öffentlichen Plätzen!	#	-	x	x	x	x	-	-	x	x	x	y	y	y	x
7. Alle Kinder sollen ungeachtet ihres kulturellen Hintergrundes gemeinsam unterrichtet werden.	#	#	#	#	#	#	#	x	x	#	y	y	y	y	y
8. Auch der Besitz von nur geringen Mengen Cannabis soll strafrechtlich verfolgt werden.	#	x	#	x	x	x	#	#	#	#	y	y	x	-	x
9. Die wirtschaftlich stärkeren Länder sollen weniger an die wirtschaftlich schwächeren Länder zahlen müssen.	#	#	#	x	#	x	-	#	#	#	x	y	-	y	x
10. Der Bau von Minaretten soll verboten werden.	x	x	x	x	x	x	x	#	#	-	x	y	x	y	x
11. Bayern soll sich dafür einsetzen, dass alle Studierenden BAföG unabhängig vom Einkommen ihrer Eltern erhalten können.	x	#	x	#	#	#	x	x	x	#	x	x	y	x	y
12. Auch in Bayern soll nach Endlagerstätten für Atommüll gesucht werden.	x	x	#	#	x	#	x	-	#	-	x	y	-	x	y
13. Der Freistaat Bayern soll die Bewerbung Münchens für die olympischen Winterspiele 2022 finanziell unterstützen.	#	#	#	x	#	x	x	-	x	x	-	y	y	x	-
14. Einführung einer Frauenquote für Führungspositionen im öffentlichen Dienst!	x	#	x	#	x	#	x	x	x	x	-	x	y	x	x
15. Das Land soll weiterhin Projekte gegen politischen Extremismus fördern.	#	#	#	-	#	-	#	x	x	#	-	y	y	y	-
16. Das dreigliedrige Schulsystem (Mittelschule, Realschule, Gymnasium) soll erhalten bleiben.	#	#	#	x	#	x	#	#	#	#	y	y	x	y	x
17. Das Land soll sich dafür einsetzen, dass die Vermögensteuer wieder erhoben wird.	x	#	x	-	x	#	#	x	#	x	x	x	y	x	-
18. Keine Solaranlagen auf landwirtschaftlichen Flächen!	x	x	#	x	#	#	-	#	#	x	y	y	y	x	-
19. Mehr Menschen mit Migrationshintergrund sollen im Polizeidienst arbeiten.	#	#	#	#	#	#	#	x	x	x	y	x	y	x	y
20. Keine Privatisierung von Krankenhäusern!	-	#	-	x	x	#	#	#	#	#	y	-	y	-	-
21. Vollständige Gleichstellung von Ehe und gleichgeschlechtlicher Lebenspartnerschaft.	x	#	#	#	#	#	x	x	x	x	x	x	y	y	y
22. Abgabe von Entscheidungsbefugnissen an die Europäische Union nur durch Volksentscheid!	#	#	#	x	x	-	#	#	#	#	y	y	-	y	x
23. Deutsche sollen bei der Vergabe von Sozialwohnungen bevorzugt werden.	x	x	x	x	x	x	x	#	#	-	x	y	x	-	x
24. Bei Landtagswahlen: Wählen ab 16!	x	#	x	#	x	#	#	x	x	x	x	x	y	x	y
25. Steuerhinterziehung soll weiterhin bei Selbstanzeige straffrei bleiben.	-	x	x	-	#	x	x	x	x	#	y	x	x	x	-
26. Das Bayerische Landesamt für Verfassungsschutz soll aufgelöst werden.	x	-	x	#	x	#	x	#	#	x	x	x	-	x	y
27. Jeder Schulabsolvent soll einen gesetzlichen Anspruch auf einen Ausbildungsplatz haben.	-	#	x	x	x	#	#	#	x	-	y	x	y	y	x
28. Die finanzielle Unterstützung für einkommensschwache Familien (Landeserziehungsgeld) soll beibehalten werden.	#	x	#	x	#	x	#	#	#	#	y	y	y	y	x
29. Polizisten und Polizistinnen sollen bei Großeinsätzen eine gut lesbare, individuelle Kennung tragen müssen.	x	#	-	#	#	#	x	x	x	#	y	-	y	y	y
30. Die Stromsteuer soll gesenkt werden.	-	#	#	x	#	#	x	#	#	#	y	y	y	y	x
31. Das letzte Kindergartenjahr vor der Einschulung soll verpflichtend sein.	x	x	#	x	x	#	x	x	x	x	y	y	y	y	-
32. Das Land soll weiterhin Kulturprojekte von Migrantinnen und Migranten fördern.	#	#	#	#	#	#	#	x	x	-	y	-	y	-	y
33. Die Erhöhung des gesetzlichen Renteneintrittsalters auf 67 Jahre soll beibehalten werden.	#	x	x	#	#	x	x	x	x	x	x	y	x	-	-
34. Asylbewerber und Asylbewerberinnen sollen eine uneingeschränkte Arbeitserlaubnis erhalten.	x	#	x	#	#	#	x	x	x	-	x	x	x	x	y
35. Der Schutz der "stillen Tage" soll beibehalten werden (Tanzverbot).	#	#	#	#	x	x	#	#	-	#	y	x	y	y	x
36. Die dritte Startbahn am Münchener Flughafen soll gebaut werden.	-	x	x	x	#	x	x	-	x	x	y	y	x	x	x
37. Abbau der Verflechtung von Kirche und Staat in Bayern!	x	-	x	#	#	#	x	#	#	x	y	y	y	y	y
38. Der Einsatz von Schneekanonen soll in den bayerischen Skigebieten verboten werden.	x	-	x	-	x	#	#	-	#	x	x	x	-	x	y
