These	CDU	SPD	FDP	Linke	Grüne	Piraten	NPD	PMUT	REP	ÖPD	Familien	B21	Rentner	Bayern	PBC	BüSo	Violett	MLPD	Volksabstimmung	PSG	Alternative f D	BIG	Bürgerbewegung	Frauen	FW	Nichtwähler	PDV	Die Partei
1. Es soll ein gesetzlicher flächendeckender Mindestlohn eingeführt werden.	x	y	x	y	y	y	y	y	x	y	y	y	y	x	y	y	y	y	y	y	x	y	y	y	x	-	x	y
2. Eltern, deren Kinder nicht in die Kita gehen, sollen ein Betreuungsgeld erhalten.	y	x	-	x	x	x	y	x	y	y	y	x	x	y	y	y	y	x	y	x	x	x	-	x	x	x	x	x
3. Generelles Tempolimit auf Autobahnen!	x	x	x	y	y	-	x	y	x	y	y	x	x	x	x	x	y	y	-	y	x	x	x	y	x	-	x	x
4. Deutschland soll den Euro als Währung behalten.	y	y	y	y	y	y	x	y	x	y	y	y	y	x	y	x	y	-	y	x	x	y	x	-	y	y	x	y
5. Der Strompreis soll vom Staat stärker reguliert werden.	x	y	x	y	-	-	y	y	x	x	y	y	y	y	y	x	y	-	y	y	x	y	y	y	y	y	x	y
6. Die Videoüberwachung im öffentlichen Raum soll ausgebaut werden.	y	-	x	x	x	x	-	x	y	x	y	y	y	x	y	x	x	x	y	x	x	x	y	-	y	-	x	x
7. In Deutschland soll ein bedingungsloses Grundeinkommen eingeführt werden.	x	x	x	-	-	y	x	y	x	x	x	x	x	x	x	x	y	-	x	y	x	y	x	-	x	-	x	y
8. Nur ökologische Landwirtschaft soll finanzielle Förderung erhalten.	x	-	x	-	-	y	y	y	x	y	y	y	x	x	x	x	y	x	y	x	x	x	y	y	x	-	x	y
9. Alle Kinder sollen ungeachtet ihres kulturellen Hintergrundes gemeinsam unterrichtet werden.	y	y	y	y	y	y	x	y	x	y	y	y	y	y	-	y	y	y	-	y	y	y	x	y	y	-	x	y
10. Der Spitzensteuersatz soll erhöht werden.	x	y	x	y	y	-	y	y	x	y	y	y	y	x	x	x	y	y	y	y	x	y	x	y	x	x	x	y
11. Deutschland soll aus der NATO austreten.	x	x	x	y	x	x	y	x	-	x	x	x	x	x	x	y	-	y	-	y	x	x	y	y	x	x	y	x
12. Kein Neubau von Kohlekraftwerken!	x	x	x	y	y	y	y	y	x	y	y	y	x	y	-	x	y	y	-	-	-	y	x	y	x	-	x	-
13. Die "Pille danach" soll rezeptpflichtig bleiben.	y	x	-	x	x	x	y	x	y	y	y	y	x	y	y	y	y	x	y	x	y	y	y	x	y	-	x	x
14. Alle Banken in Deutschland sollen verstaatlicht werden.	x	x	x	-	x	x	y	x	x	x	x	x	x	x	x	x	x	y	x	y	x	x	x	y	x	x	x	y
15. Deutschland soll mehr Flüchtlinge aufnehmen.	x	y	-	y	y	y	x	-	x	y	y	-	-	x	-	y	y	y	-	y	x	y	x	y	x	-	x	y
16. Arbeitnehmerinnen und Arbeitnehmer sollen für die Zeit, in der sie Angehörige pflegen, staatliche Lohnersatzleistungen erhalten.	x	y	x	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	-	x	y
17. Verfassungswidrige Parteien sollen weiterhin verboten werden dürfen.	y	y	y	y	y	y	x	y	y	y	y	y	y	x	y	y	y	-	y	x	y	y	y	-	y	y	x	y
18. BAföG soll unabhängig vom Einkommen der Eltern gezahlt werden.	x	-	y	y	y	y	y	x	x	y	y	x	x	y	y	x	y	x	x	y	x	x	y	y	y	-	x	y
19. An allen deutschen Grenzen sollen wieder Einreisekontrollen durchgeführt werden.	x	x	x	x	x	x	y	x	y	x	-	x	x	x	x	-	x	x	x	x	x	x	y	x	x	x	x	x
20. In Aufsichtsräten und Vorständen von Unternehmen soll eine gesetzliche Frauenquote gelten.	-	y	x	y	y	-	x	y	x	x	y	x	x	x	x	-	y	-	x	x	x	-	x	y	x	-	x	y
21. Finanzstarke Bundesländer sollen schwache Bundesländer weniger unterstützen müssen.	-	x	x	x	x	-	-	-	y	-	y	x	x	y	-	x	x	x	-	x	y	x	-	x	-	-	y	x
22. Das gesetzliche Renteneintrittsalter soll wieder gesenkt werden.	x	y	-	y	x	-	y	y	x	x	-	y	y	y	x	y	y	y	y	y	x	y	y	-	y	-	x	y
23. Der Staat soll im öffentlichen Dienst verstärkt Menschen mit Migrationshintergrund einstellen.	y	y	y	y	y	y	x	x	x	y	y	-	-	x	x	y	y	y	-	y	-	y	x	y	y	-	x	y
24. Rüstungsexporte sollen verboten werden.	x	x	x	y	-	y	y	y	-	y	y	x	x	-	-	-	y	y	-	y	x	x	y	y	x	y	x	y
25. Das Ehegattensplitting soll beibehalten werden.	y	-	y	x	x	x	y	y	y	y	-	y	y	y	y	y	x	x	y	x	y	x	y	x	y	-	x	y
